2025-07-22 11:57:03 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 11:57:03 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 11:57:03 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 11:57:04 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 11:57:04 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 11:57:04 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 11:57:04 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 11:57:04 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 11:57:05 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 11:57:05 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 11:57:33 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:435 | 💾 Клієнта 'іваіва' збережено: іваіва_f23227b7.json
2025-07-22 11:57:43 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:435 | 💾 Клієнта 'іваіва' збережено: іваіва_f23227b7.json
2025-07-22 11:57:55 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 11:57:55 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 12:02:59 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 12:02:59 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 12:02:59 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 12:03:00 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 12:03:00 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 12:03:00 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 12:03:00 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 12:03:00 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 12:03:01 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 12:03:01 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 12:03:33 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 12:03:33 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 12:04:56 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 12:04:56 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 12:04:56 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 12:04:56 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 12:04:56 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 12:04:56 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 12:04:56 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 12:04:56 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 12:04:57 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 12:04:57 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 12:06:40 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 12:06:40 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 14:19:01 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:19:01 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:19:01 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:19:02 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:19:02 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:19:02 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:19:02 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:19:02 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:19:03 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:19:03 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 14:19:15 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 14:19:15 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 14:21:47 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:21:47 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:21:47 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:21:48 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:21:48 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:21:48 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:21:48 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:21:48 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:21:49 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:21:49 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 14:22:02 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 14:22:02 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 14:27:22 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:27:22 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:27:22 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:27:23 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:27:23 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:27:23 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:27:23 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:27:23 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:27:23 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:27:23 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 14:30:58 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:435 | 💾 Клієнта 'Дениска' збережено: Дениска_df944207.json
2025-07-22 14:31:39 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:435 | 💾 Клієнта 'Дениска' збережено: Дениска_df944207.json
2025-07-22 14:31:44 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:435 | 💾 Клієнта 'Дени' збережено: Дени_df944207.json
2025-07-22 14:43:51 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:43:51 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:43:51 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:43:52 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:43:52 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:43:52 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:43:52 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:43:52 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:43:53 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:43:53 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 14:43:58 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 14:43:58 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 14:46:42 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:46:42 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:46:42 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:46:43 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:46:43 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:46:43 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:46:43 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:46:43 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:46:44 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:46:44 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 14:46:48 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 14:46:48 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 14:56:04 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:56:04 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:56:04 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:56:04 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:56:04 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:56:04 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:56:04 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:56:04 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:56:05 | ERROR    | __main__:main:90 | 💥 Критична помилка: 'ClientsPage' object has no attribute '_create_grid_layout'
2025-07-22 14:56:38 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:56:38 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:56:38 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:56:39 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:56:39 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:56:39 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:56:39 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:56:39 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:56:39 | ERROR    | __main__:main:90 | 💥 Критична помилка: 'ClientsPage' object has no attribute '_create_grid_layout'
2025-07-22 14:58:04 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 14:58:04 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 14:58:04 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 14:58:05 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 14:58:05 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 14:58:05 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 14:58:05 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 14:58:05 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 14:58:06 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 14:58:06 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 15:04:23 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 15:04:23 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 15:05:21 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 15:05:21 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 15:05:21 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 15:05:22 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 15:05:22 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 15:05:22 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 15:05:22 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 15:05:22 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 15:05:23 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 15:05:23 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 15:05:36 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:463 | 💾 Клієнта 'Денис Мельниченко' збережено: Денис_Мельниченко_bb1e3ab2.json
2025-07-22 15:05:44 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:463 | 💾 Клієнта 'Денис Мельничен' збережено: Денис_Мельничен_bb1e3ab2.json
2025-07-22 15:12:50 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 15:12:50 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 15:12:50 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 15:12:50 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 15:12:50 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 15:12:50 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 15:12:50 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 15:12:50 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 15:12:52 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 15:12:52 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 15:14:03 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:463 | 💾 Клієнта 'іваі опа' збережено: іваі_опа_21cf6b01.json
2025-07-22 15:25:25 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 15:25:25 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 15:25:25 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 15:25:25 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 15:25:25 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 15:25:25 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 15:25:25 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 15:25:25 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 15:25:26 | INFO     | __main__:main:79 | 🪟 Головне вікно створено та показано
2025-07-22 15:25:26 | INFO     | __main__:main:82 | ▶️ Запуск головного циклу програми
2025-07-22 15:25:39 | INFO     | ui.dialogs.edit_client.main_dialog:_save_client_to_file:484 | 💾 Клієнта 'Денис рпорпо' збережено: Денис_рпорпо_bb1e3ab2.json
2025-07-22 15:25:57 | INFO     | __main__:main:85 | 🏁 Програма завершена
2025-07-22 15:25:57 | INFO     | config.logger:log_shutdown:101 | 🛑 Fitness CRM завершено
2025-07-22 15:38:57 | INFO     | config.logger:log_startup:95 | 🚀 Fitness CRM запущено
2025-07-22 15:38:57 | INFO     | config.logger:log_startup:96 | 📁 Робоча директорія: C:\Users\vedor\OneDrive\Рабочий стол\fitness_crm_pyside6
2025-07-22 15:38:57 | INFO     | config.logger:log_startup:97 | 🐍 Python версія: 3.12.9 (tags/v3.12.9:fdb8142, Feb  4 2025, 15:27:58) [MSC v.1942 64 bit (AMD64)]
2025-07-22 15:38:58 | INFO     | __main__:main:41 | 🚀 Запуск Fitness CRM...
2025-07-22 15:38:58 | INFO     | __main__:main:56 | 📱 Додаток: Fitness CRM v1.0.0
2025-07-22 15:38:58 | INFO     | __main__:main:57 | 👤 Автор: Denis
2025-07-22 15:38:58 | INFO     | __main__:main:67 | 🎨 Встановлено світлу тему
2025-07-22 15:38:58 | INFO     | __main__:main:71 | ✨ Застосовано кастомні стилі
2025-07-22 15:38:59 | ERROR    | __main__:main:90 | 💥 Критична помилка: 'PySide6.QtWidgets.QScrollArea.__init__' called with wrong argument types:
  PySide6.QtWidgets.QScrollArea.__init__(Orientation)
